term_th,term_en,definition_th,forbidden_variants_th,source
โรคใบจุด,Cercospora leaf spot,โรคเชื้อราที่ทำให้เกิดจุดกลมสีน้ำตาลขอบเข้มบนใบ,ใบจุดตากบ|โรคจุดใบ,DOA chili handbook 2025 (example)
โรคแอนแทรคโนส,anthracnose,โรคเชื้อราที่ทำให้ผลเป็นแผลยุบตัว ลุกลามเร็วช่วงฝนชุก,โรคกุ้งแห้ง|แอนแทรกโนส,DOA chili handbook 2025 (example)
ขาดธาตุแมกนีเซียม,magnesium deficiency,อาการใบล่างเหลืองระหว่างเส้นใบขณะเส้นใบยังเขียว,ขาดแมกนีเซี่ยม,DOA chili handbook 2025 (example)
โรคเหี่ยวเขียว,bacterial wilt,โรคแบคทีเรียที่ทำให้ต้นเหี่ยวขณะใบยังเขียว,โรคเหี่ยว,DOA chili handbook 2025 (example)
เพลี้ยไฟ,thrips,แมลงศัตรูขนาดเล็กทำให้ใบหงิกม้วน,เพลี้ยไฟพริก|เพี้ยไฟ,DOA chili handbook 2025 (example)
หนอนเจาะผล,fruit borer,หนอนที่เจาะเข้าไปในผลพริก,หนอนเจาะสมอฝ้าย,DOA chili handbook 2025 (example)
ระยะปลอดภัยก่อนเก็บเกี่ยว (PHI),pre-harvest interval,จำนวนวันขั้นต่ำระหว่างการใช้สารครั้งสุดท้ายกับการเก็บเกี่ยว ตามฉลาก,ระยะเว้นเก็บเกี่ยว|PHI วัน,ThaiGAP guidance (example)
ระยะปลอดภัยก่อนเข้าแปลง (REI),re-entry interval,ระยะเวลาหลังพ่นสารที่ห้ามเข้าแปลงโดยไม่มี PPE,ระยะห้ามเข้า,label (example)
ค่าปริมาณสารพิษตกค้างสูงสุด (MRL),maximum residue limit,ปริมาณสารตกค้างสูงสุดที่กฎหมายอนุญาตในผลผลิต,ค่า MRL สูงสุด,MoPH notification (example)
รายการปัจจัยการผลิตที่อนุมัติ,approved-input list,รายการสารและปุ๋ยที่ผู้ดูแลฟาร์มอนุมัติให้ใช้ พร้อม PHI/REI/MRL,รายการสารที่ใช้ได้,GAPFarm (C-02)
บันทึกการสำรวจแปลง,scouting record,บันทึก GAP การตรวจแปลงพร้อมหลักฐานภาพ โซน วันที่ ความรุนแรง,บันทึกตรวจแปลง,GAPFarm (FR-09)
บันทึกการใช้ปัจจัยการผลิต,input-usage record,บันทึก GAP การใช้สาร/ปุ๋ย: ผลิตภัณฑ์ อัตรา วิธี ผู้พ่น สภาพอากาศ PPE,บันทึกการพ่นสาร,GAPFarm (FR-10)
ล็อตเก็บเกี่ยว,harvest lot,ผลผลิตหนึ่งชุดที่สืบย้อนถึงแปลงและปัจจัยการผลิตได้,ล๊อต,GAPFarm (FR-12)
ความเชื่อมั่น,confidence (calibrated probability),ความน่าจะเป็นที่ปรับเทียบแล้วว่าคำวินิจฉัยถูกต้อง ไม่ใช่การยืนยัน,ความแม่นยำ|ความแน่นอน,GAPFarm (AI-05)
ระดับความรุนแรง,severity level,สัดส่วนพื้นที่ใบที่ได้รับผลกระทบ: น้อย (<5 %) ปานกลาง (5–15 %) รุนแรง (>15 %),ระดับการระบาด,GAPFarm (FR-06)
งานที่แนะนำ,recommended task,งานที่ระบบสร้างให้จากผลวินิจฉัย: ตรวจต้นข้างเคียง พิจารณาพ่นสาร ถ่ายภาพติดตาม,งานแนะนำ,GAPFarm (FR-16)
ช่องว่างการบันทึก GAP,compliance gap,ช่วงเวลาที่ไม่มีบันทึกภาคบังคับตามข้อกำหนดของมาตรฐาน,บันทึกขาด,GAPFarm (FR-15)
ระยะการเจริญเติบโต,growth stage,ระยะของพืชที่ประเมินจากวันปลูกและผลรวมองศาวัน (GDD),ระยะพืช,GAPFarm (FR-30)
องศาวันสะสม (GDD),growing degree days,ผลรวมรายวันของ (Tmax+Tmin)/2 − อุณหภูมิฐาน ตั้งแต่วันปลูก,องศาวัน,GAPFarm (AI-08)
ปรึกษานักวิชาการเกษตร,consult an agronomist,คำแนะนำมาตรฐานเมื่ออาการรุนแรง ไม่คุ้นเคย หรือลุกลามเร็ว,ถามเกษตรอำเภอ,GAPFarm (FR-29)
