ja,ja_reading,th,en,domain,forbidden,approved_by,effective_from,notes
成形条件,せいけいじょうけん,เงื่อนไขการขึ้นรูป,molding conditions,parameter,,admin,2026-09-01,
不良率,ふりょうりつ,อัตราของเสีย,defect rate,metric,,admin,2026-09-01,
保圧,ほあつ,แรงดันย้ำ,holding pressure,parameter,,admin,2026-09-01,
金型,かながた,แม่พิมพ์,mould,general,en:mold die,admin,2026-09-01,
射出圧力,しゃしゅつあつりょく,แรงดันฉีด,injection pressure,parameter,,admin,2026-09-01,
溶融温度,ようゆうおんど,อุณหภูมิหลอม,melt temperature,parameter,,admin,2026-09-01,
冷却時間,れいきゃくじかん,เวลาหล่อเย็น,cooling time,parameter,,admin,2026-09-01,
サイクルタイム,さいくるたいむ,รอบเวลาการผลิต,cycle time,parameter,,admin,2026-09-01,
是正処置,ぜせいしょち,มาตรการแก้ไข,corrective action,action,ja:修正措置;en:correction measure,admin,2026-09-01,
水平展開,すいへいてんかい,การขยายผลแนวราบ,horizontal deployment,action,ja:横展開,admin,2026-09-01,
作業標準書,さぎょうひょうじゅんしょ,เอกสารมาตรฐานการทำงาน,work standard,document,th:คู่มือการทำงาน,admin,2026-09-01,
検査基準書,けんさきじゅんしょ,เอกสารมาตรฐานการตรวจสอบ,inspection standard,document,,admin,2026-09-01,
品質報告書,ひんしつほうこくしょ,รายงานคุณภาพ,quality report,document,,admin,2026-09-01,
管理図,かんりず,แผนภูมิควบคุม,control chart,document,,admin,2026-09-01,
公差,こうさ,พิกัดความคลาดเคลื่อน,tolerance,general,,admin,2026-09-01,
ロット,ろっと,ล็อต,lot,general,,admin,2026-09-01,
再生材,さいせいざい,วัสดุรีไซเคิล,regrind,material,,admin,2026-09-01,
乾燥,かんそう,การอบแห้ง,drying,process,,admin,2026-09-01,
段取り,だんどり,การเตรียมงาน,changeover,process,,admin,2026-09-01,
チョコ停,ちょこてい,หยุดสั้น,micro-stop,metric,,admin,2026-09-01,
キズ,きず,รอยขีดข่วน,scratch,defect,,admin,2026-09-01,
バリ,ばり,ครีบ,burr,defect,,admin,2026-09-01,
ショート,しょーと,ชิ้นงานไม่เต็ม,short shot,defect,,admin,2026-09-01,
ヒケ,ひけ,รอยยุบ,sink mark,defect,,admin,2026-09-01,
寸法,すんぽう,ขนาด,dimension,general,,admin,2026-09-01,
検査,けんさ,การตรวจสอบ,inspection,process,,admin,2026-09-01,
工程,こうてい,กระบวนการ,process step,general,,admin,2026-09-01,
対策,たいさく,มาตรการ,countermeasure,action,,admin,2026-09-01,
現場,げんば,หน้างาน,genba (shop floor),general,,admin,2026-09-01,
溶接,ようせつ,การเชื่อม,welding,process,,admin,2026-09-01,
